president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Donald Trump,All polls,11/3/17,37.8332,42.36376,33.30264,56.58921,61.17087,52.00755,3/11/17 17:25
Donald Trump,Voters,11/2/17,39.50467,43.86527,35.14406,55.37743,59.75625,50.99862,2/11/17 19:18
Donald Trump,Adults,42777,37.38071,41.12535,33.63607,56.87278,61.39518,52.35038,2017-11-02
Donald Trump,All polls,11/2/17,37.97559,42.52827,33.4229,56.40167,60.83871,51.96463,2/11/17 19:18
Donald Trump,Adults,42746,36.73897,40.30959,33.16835,57.62163,62.53848,52.70478,2017-11-01
Donald Trump,Voters,11/1/17,39.45043,43.836,35.06485,55.40435,59.82651,50.98219,1/11/17 14:37
Donald Trump,All polls,11/1/17,37.75723,42.39159,33.12287,56.76285,61.45495,52.07076,1/11/17 14:37
Donald Trump,Adults,10/31/2017,36.13458,39.5146,32.75456,58.07021,62.80627,53.33414,2017-10-31
Donald Trump,Voters,10/31/2017,38.73505,43.0513,34.4188,56.16645,60.4187,51.9142,31/10/17 15:10
Donald Trump,All polls,10/31/2017,37.24255,41.83614,32.64895,57.15416,61.77101,52.5373,31/10/17 15:10
Donald Trump,Voters,10/30/2017,38.96075,43.36547,34.55602,56.08945,60.45528,51.72363,30/10/17 13:05
Donald Trump,Adults,10/30/2017,36.08981,39.60581,32.5738,57.94589,62.78593,53.10584,2017-10-30
Donald Trump,All polls,10/30/2017,37.26442,42.03175,32.49708,57.09366,61.82941,52.35792,30/10/17 13:05
Donald Trump,Voters,10/29/2017,38.7843,42.95199,34.6166,56.29276,60.53031,52.05521,29/10/17 13:23
Donald Trump,Adults,10/29/2017,36.28357,39.66254,32.9046,57.75093,62.47608,53.02577,2017-10-29
Donald Trump,All polls,10/29/2017,37.26856,41.76267,32.77445,57.08418,61.68118,52.48719,29/10/17 13:23
